step,agent_y,agent_x,agent_load,rew,action,put/take
517,4,0,3,-1.0,4,walk
518,3,0,3,-1.0,1,walk
519,2,0,0,21.5,1,put
520,2,0,0,0.0,0,stay
521,2,0,0,0.0,0,stay
522,2,1,0,-1.0,2,walk
523,2,2,0,-1.0,2,walk
524,1,2,0,-1.0,1,walk
525,1,1,0,-1.0,4,walk
526,1,1,1,7.5,0,take
527,0,1,2,6.5,1,take
528,0,2,2,-1.0,2,walk
529,0,3,3,6.5,2,take
530,0,2,3,-1.0,4,walk
531,0,1,3,-1.0,4,walk
532,0,0,3,-1.0,4,walk
533,1,0,3,-1.0,3,walk
534,2,0,0,21.5,3,put
535,2,0,0,0.0,0,stay
536,2,0,0,0.0,0,stay
537,2,0,0,0.0,0,stay
538,2,0,0,0.0,0,stay
539,2,1,0,-1.0,2,walk
540,2,2,1,6.5,2,take
541,3,2,1,-1.0,3,walk
542,3,3,1,-1.0,2,walk
543,4,3,2,6.5,3,take
544,4,3,2,0.0,0,stay
545,4,3,2,0.0,0,stay
546,4,3,2,0.0,0,stay
547,3,3,2,-1.0,1,walk
548,3,2,2,-1.0,4,walk
549,2,2,3,6.5,1,take
550,2,1,3,-1.0,4,walk
551,2,0,0,21.5,4,put
552,1,0,1,6.5,1,take
553,1,0,1,0.0,0,stay
554,1,1,1,-1.0,2,walk
555,0,1,2,6.5,1,take
556,0,2,2,-1.0,2,walk
557,1,2,2,-1.0,3,walk
558,2,2,2,-1.0,3,walk
559,3,2,3,6.5,3,take
560,3,1,3,-1.0,4,walk
561,3,0,3,-1.0,4,walk
562,2,0,0,21.5,1,put
563,2,0,0,0.0,0,stay
564,2,1,0,-1.0,2,walk
565,2,1,1,7.5,0,take
566,1,1,1,-1.0,1,walk
567,0,1,2,6.5,1,take
568,0,2,3,6.5,2,take
569,0,1,3,-1.0,4,walk
570,0,0,3,-1.0,4,walk
571,1,0,3,-1.0,3,walk
572,2,0,0,21.5,3,put
573,2,1,0,-1.0,2,walk
574,3,1,0,-1.0,3,walk
575,3,2,0,-1.0,2,walk
576,4,2,1,6.5,3,take
577,4,3,2,6.5,2,take
578,3,3,2,-1.0,1,walk
579,3,2,2,-1.0,4,walk
580,3,1,3,6.5,4,take
581,3,0,3,-1.0,4,walk
582,2,0,0,21.5,1,put
583,2,0,0,0.0,0,stay
584,2,0,0,0.0,0,stay
585,2,0,0,0.0,0,stay
586,2,0,0,0.0,0,stay
587,2,0,0,0.0,0,stay
588,2,1,0,-1.0,2,walk
589,3,1,0,-1.0,3,walk
590,4,1,1,6.5,3,take
591,4,2,1,-1.0,2,walk
592,4,3,1,-1.0,2,walk
593,3,3,2,6.5,1,take
594,3,4,2,-1.0,2,walk
595,2,4,3,6.5,1,take
596,2,3,3,-1.0,4,walk
597,2,2,3,-1.0,4,walk
598,2,1,3,-1.0,4,walk
599,2,0,0,21.5,4,put
600,2,0,0,0.0,0,stay
601,2,0,0,0.0,0,stay
602,2,0,0,0.0,0,stay
603,2,0,0,0.0,0,stay
604,2,0,0,0.0,0,stay
605,2,0,0,0.0,0,stay
606,2,0,0,0.0,0,stay
607,2,0,0,0.0,0,stay
